 movieID , Group 
 3189 , 1 
 3207 , 1 
 3216 , 1 
 3233 , 1 
 3239 , 1 
 3323 , 1 
 3366 , 1 
 3467 , 1 
 3854 , 1 
 3906 , 1 
 3961 , 1 
 4057 , 1 
 4064 , 1 
 4068 , 1 
 4072 , 1 
 4076 , 1 
 4132 , 1 
 4152 , 1 
 4252 , 2 
 4354 , 1 
 4681 , 1 
 4869 , 1 
 4999 , 1 
 5000 , 1 
 5044 , 1 
 5076 , 1 
 5078 , 1 
 5123 , 3 
 5161 , 1 
 5171 , 1 
 5324 , 1 
 5914 , 1 
 5915 , 1 
 5959 , 1 
 6057 , 1 
 6058 , 5 
 6097 , 1 
 6163 , 1 
 6166 , 1 
 6185 , 1 
 6425 , 1 
 7062 , 1 
 7149 , 1 
 7202 , 1 
 7212 , 1 
 7232 , 1 
 7235 , 1 
 7247 , 2 
 7320 , 1 
 7755 , 4 
 8779 , 1 
 8860 , 1 
 8862 , 1 
 8865 , 1 
 8901 , 1 
 8903 , 1 
 8929 , 1 
 8935 , 1 
 8939 , 1 
 9417 , 1 
 9419 , 1 
 9420 , 1 
 9432 , 1 
 9438 , 1 
 9441 , 1 
 9443 , 1 
 9448 , 1 
 9514 , 1 
 9739 , 1 
 9753 , 1 
 9775 , 1 
 9779 , 1 
 9782 , 1 
 9797 , 1 
 9807 , 1 
 9816 , 1 
 9818 , 1 
 9821 , 1 
 10059 , 1 
 10143 , 1 
 10156 , 1 
 10157 , 1 
 10178 , 1 
 10227 , 1 
 10234 , 1 
 10241 , 1 
