movieid,genres,tagid,timestamp
3961,Thriller,428.0,2006-08-18 15:09:24
3961,Thriller,428.0,2006-02-25 14:11:48
3962,Action|Comedy,,
3963,Drama|Romance,507.0,2007-11-20 20:16:15
3963,Drama|Romance,104.0,2006-04-15 11:06:15
3963,Drama|Romance,863.0,2006-03-08 06:54:48
3977,Comedy,197.0,2007-12-05 17:49:56
3977,Comedy,268.0,2008-06-08 14:47:52
4050,Comedy|Romance,,
4052,Horror|Mystery,,
4057,Horror|Thriller,903.0,2006-05-27 04:14:14
4057,Horror|Thriller,824.0,2006-01-16 08:27:50
4057,Horror|Thriller,903.0,2007-06-08 07:15:05
4057,Horror|Thriller,155.0,2006-02-21 13:50:36
4057,Horror|Thriller,824.0,2007-11-26 19:32:58
4057,Horror|Thriller,86.0,2007-02-26 09:03:59
4057,Horror|Thriller,180.0,2006-07-19 18:49:20
4057,Horror|Thriller,180.0,2007-08-13 12:42:14
4057,Horror|Thriller,489.0,2006-02-04 02:53:51
4058,Comedy,919.0,2008-03-26 06:31:22
4058,Comedy,732.0,2006-09-21 16:58:13
4062,Comedy|Romance,849.0,2008-04-18 18:49:12
4063,Animation|Children,309.0,2006-12-08 15:59:17
4064,Drama|Romance,874.0,2008-04-05 15:26:47
4067,Animation|Comedy,1104.0,2006-12-09 22:37:08
4068,Action|Thriller,,
4071,Comedy,,
4072,Action|Drama,,
4075,Action|Drama,842.0,2006-01-15 18:26:17
4075,Action|Drama,842.0,2007-11-02 08:42:49
4076,Thriller,732.0,2006-09-20 15:38:31
4077,Comedy|Romance,,
4132,Drama|War,1121.0,2007-07-29 18:58:27
4132,Drama|War,1096.0,2007-10-16 19:09:06
4132,Drama|War,1121.0,2007-09-17 03:15:50
4132,Drama|War,1121.0,2006-04-19 13:24:29
4132,Drama|War,1126.0,2006-02-14 23:49:07
4132,Drama|War,1121.0,2006-05-01 14:52:45
4132,Drama|War,127.0,2007-01-08 15:54:05
4132,Drama|War,729.0,2006-09-23 16:11:33
4132,Drama|War,1121.0,2007-11-04 07:18:53
4132,Drama|War,1121.0,2007-06-06 15:17:24
4132,Drama|War,1121.0,2006-07-28 16:25:31
4132,Drama|War,127.0,2007-08-22 10:43:01
4133,Action|Thriller,,
4138,Comedy|Romance,415.0,2006-01-26 22:55:46
4141,Action|Adventure|Children|Comedy,961.0,2006-01-23 09:13:44
4142,Comedy,,
4147,Action|Crime|Mystery|Thriller,107.0,2008-09-14 14:20:16
4148,Drama,331.0,2006-08-07 05:59:05
4148,Drama,331.0,2006-05-21 08:37:26
4148,Drama,331.0,2007-11-04 15:24:01
4148,Drama,331.0,2006-07-04 09:35:49
4148,Drama,140.0,2006-10-23 17:15:32
4148,Drama,554.0,2007-08-19 08:57:24
4148,Drama,331.0,2006-01-13 11:01:48
4149,Comedy|Fantasy,,
4152,Crime|Drama|Mystery,,
4155,Comedy|Drama|Romance,107.0,2006-10-30 19:42:52
4155,Comedy|Drama|Romance,863.0,2007-08-31 04:02:27
4155,Comedy|Drama|Romance,201.0,2007-08-31 08:14:16
4155,Comedy|Drama|Romance,439.0,2006-01-17 12:28:45
4155,Comedy|Drama|Romance,863.0,2007-09-11 14:33:24
4155,Comedy|Drama|Romance,439.0,2006-01-12 14:01:53
4155,Comedy|Drama|Romance,416.0,2006-01-20 22:22:03
4155,Comedy|Drama|Romance,450.0,2007-12-08 13:49:14
4155,Comedy|Drama|Romance,479.0,2007-01-01 17:51:53
4155,Comedy|Drama|Romance,846.0,2006-02-08 17:49:04
4155,Comedy|Drama|Romance,691.0,2006-04-19 03:07:35
4155,Comedy|Drama|Romance,164.0,2006-01-25 13:13:31
4155,Comedy|Drama|Romance,863.0,2007-03-20 10:12:54
4155,Comedy|Drama|Romance,22.0,2007-04-28 16:32:36
4155,Comedy|Drama|Romance,574.0,2006-02-23 08:50:18
4155,Comedy|Drama|Romance,613.0,2006-09-01 09:01:16
4155,Comedy|Drama|Romance,901.0,2006-01-13 10:03:25
4155,Comedy|Drama|Romance,201.0,2006-01-12 14:37:01
4155,Comedy|Drama|Romance,863.0,2007-07-31 02:39:33
4155,Comedy|Drama|Romance,863.0,2007-08-05 06:59:30
4155,Comedy|Drama|Romance,230.0,2007-08-05 13:44:54
4155,Comedy|Drama|Romance,871.0,2007-08-06 01:29:33
4155,Comedy|Drama|Romance,863.0,2007-08-09 07:27:35
4155,Comedy|Drama|Romance,863.0,2007-08-09 12:20:14
4155,Comedy|Drama|Romance,230.0,2007-08-09 22:12:25
