genres,tagid,timestamp
Thriller,428.0,2006-08-18 15:09:24
Thriller,428.0,2006-02-25 14:11:48
Action|Comedy,,
Drama|Romance,507.0,2007-11-20 20:16:15
Drama|Romance,104.0,2006-04-15 11:06:15
Drama|Romance,863.0,2006-03-08 06:54:48
Comedy,197.0,2007-12-05 17:49:56
Comedy,268.0,2008-06-08 14:47:52
Comedy|Romance,,
Horror|Mystery,,
Horror|Thriller,903.0,2006-05-27 04:14:14
Horror|Thriller,824.0,2006-01-16 08:27:50
Horror|Thriller,903.0,2007-06-08 07:15:05
Horror|Thriller,155.0,2006-02-21 13:50:36
Horror|Thriller,824.0,2007-11-26 19:32:58
Horror|Thriller,86.0,2007-02-26 09:03:59
Horror|Thriller,180.0,2006-07-19 18:49:20
Horror|Thriller,180.0,2007-08-13 12:42:14
Horror|Thriller,489.0,2006-02-04 02:53:51
Comedy,919.0,2008-03-26 06:31:22
Comedy,732.0,2006-09-21 16:58:13
Comedy|Romance,849.0,2008-04-18 18:49:12
Animation|Children,309.0,2006-12-08 15:59:17
Drama|Romance,874.0,2008-04-05 15:26:47
Animation|Comedy,1104.0,2006-12-09 22:37:08
Action|Thriller,,
Comedy,,
Action|Drama,,
Action|Drama,842.0,2006-01-15 18:26:17
Action|Drama,842.0,2007-11-02 08:42:49
Thriller,732.0,2006-09-20 15:38:31
Comedy|Romance,,
Drama|War,1121.0,2007-07-29 18:58:27
Drama|War,1096.0,2007-10-16 19:09:06
Drama|War,1121.0,2007-09-17 03:15:50
Drama|War,1121.0,2006-04-19 13:24:29
Drama|War,1126.0,2006-02-14 23:49:07
Drama|War,1121.0,2006-05-01 14:52:45
Drama|War,127.0,2007-01-08 15:54:05
Drama|War,729.0,2006-09-23 16:11:33
Drama|War,1121.0,2007-11-04 07:18:53
Drama|War,1121.0,2007-06-06 15:17:24
Drama|War,1121.0,2006-07-28 16:25:31
Drama|War,127.0,2007-08-22 10:43:01
Action|Thriller,,
Comedy|Romance,415.0,2006-01-26 22:55:46
Action|Adventure|Children|Comedy,961.0,2006-01-23 09:13:44
Comedy,,
Action|Crime|Mystery|Thriller,107.0,2008-09-14 14:20:16
Drama,331.0,2006-08-07 05:59:05
Drama,331.0,2006-05-21 08:37:26
Drama,331.0,2007-11-04 15:24:01
Drama,331.0,2006-07-04 09:35:49
Drama,140.0,2006-10-23 17:15:32
Drama,554.0,2007-08-19 08:57:24
Drama,331.0,2006-01-13 11:01:48
Comedy|Fantasy,,
Crime|Drama|Mystery,,
Comedy|Drama|Romance,107.0,2006-10-30 19:42:52
Comedy|Drama|Romance,863.0,2007-08-31 04:02:27
Comedy|Drama|Romance,201.0,2007-08-31 08:14:16
Comedy|Drama|Romance,439.0,2006-01-17 12:28:45
Comedy|Drama|Romance,863.0,2007-09-11 14:33:24
Comedy|Drama|Romance,439.0,2006-01-12 14:01:53
Comedy|Drama|Romance,416.0,2006-01-20 22:22:03
Comedy|Drama|Romance,450.0,2007-12-08 13:49:14
Comedy|Drama|Romance,479.0,2007-01-01 17:51:53
Comedy|Drama|Romance,846.0,2006-02-08 17:49:04
Comedy|Drama|Romance,691.0,2006-04-19 03:07:35
Comedy|Drama|Romance,164.0,2006-01-25 13:13:31
Comedy|Drama|Romance,863.0,2007-03-20 10:12:54
Comedy|Drama|Romance,22.0,2007-04-28 16:32:36
Comedy|Drama|Romance,574.0,2006-02-23 08:50:18
Comedy|Drama|Romance,613.0,2006-09-01 09:01:16
Comedy|Drama|Romance,901.0,2006-01-13 10:03:25
Comedy|Drama|Romance,201.0,2006-01-12 14:37:01
Comedy|Drama|Romance,863.0,2007-07-31 02:39:33
Comedy|Drama|Romance,863.0,2007-08-05 06:59:30
Comedy|Drama|Romance,230.0,2007-08-05 13:44:54
Comedy|Drama|Romance,871.0,2007-08-06 01:29:33
Comedy|Drama|Romance,863.0,2007-08-09 07:27:35
Comedy|Drama|Romance,863.0,2007-08-09 12:20:14
Comedy|Drama|Romance,230.0,2007-08-09 22:12:25
Comedy|Drama|Romance,439.0,2006-10-18 12:02:48
Comedy|Drama|Romance,230.0,2007-08-20 09:24:43
Comedy|Drama|Romance,614.0,2007-08-21 04:34:46
Comedy|Drama|Romance,865.0,2007-08-21 08:57:43
Comedy|Drama|Romance,863.0,2007-08-23 20:05:57
Comedy|Drama|Romance,201.0,2007-08-26 18:33:15
Comedy,,
Comedy,182.0,2006-11-10 22:05:11
Comedy,,
Comedy|Drama,88.0,2008-09-04 18:04:06
Comedy|Drama,88.0,2007-08-19 04:03:07
Comedy,,
Action|Thriller,,
Comedy,,
Comedy,,
Documentary,,
Drama|Romance|Thriller,,
Adventure|Animation|Children|Comedy|Fantasy|Romance,770.0,2007-12-15 23:47:49
Adventure|Animation|Children|Comedy|Fantasy|Romance,64.0,2006-11-09 12:35:15
Adventure|Animation|Children|Comedy|Fantasy|Romance,417.0,2006-02-19 16:26:58
Adventure|Animation|Children|Comedy|Fantasy|Romance,64.0,2006-01-08 19:36:49
Adventure|Animation|Children|Comedy|Fantasy|Romance,186.0,2006-01-12 20:57:43
Adventure|Animation|Children|Comedy|Fantasy|Romance,372.0,2006-01-13 19:26:26
Adventure|Animation|Children|Comedy|Fantasy|Romance,372.0,2006-01-17 05:18:47
Adventure|Animation|Children|Comedy|Fantasy|Romance,588.0,2006-01-19 10:18:04
Adventure|Animation|Children|Comedy|Fantasy|Romance,748.0,2006-03-13 14:46:49
Adventure|Animation|Children|Comedy|Fantasy|Romance,371.0,2007-12-17 23:48:16
Adventure|Animation|Children|Comedy|Fantasy|Romance,64.0,2006-01-19 17:01:37
Adventure|Animation|Children|Comedy|Fantasy|Romance,1071.0,2006-02-05 20:04:37
Adventure|Animation|Children|Comedy|Fantasy|Romance,371.0,2006-02-06 18:02:49
Adventure|Animation|Children|Comedy|Fantasy|Romance,327.0,2006-02-10 15:54:55
Adventure|Animation|Children|Comedy|Fantasy|Romance,863.0,2006-02-10 09:31:39
Adventure|Animation|Children|Comedy|Fantasy|Romance,536.0,2007-02-22 04:44:28
Adventure|Animation|Children|Comedy|Fantasy|Romance,877.0,2006-02-11 14:26:43
Adventure|Animation|Children|Comedy|Fantasy|Romance,371.0,2006-02-15 21:24:19
Adventure|Animation|Children|Comedy|Fantasy|Romance,877.0,2006-01-15 11:33:05
Adventure|Animation|Children|Comedy|Fantasy|Romance,64.0,2006-02-14 17:20:30
Adventure|Animation|Children|Comedy|Fantasy|Romance,371.0,2006-02-17 06:50:13
Adventure|Animation|Children|Comedy|Fantasy|Romance,371.0,2008-10-06 07:52:35
Adventure|Animation|Children|Comedy|Fantasy|Romance,64.0,2006-03-08 05:04:47
Adventure|Animation|Children|Comedy|Fantasy|Romance,371.0,2006-07-07 09:48:29
Adventure|Animation|Children|Comedy|Fantasy|Romance,107.0,2007-02-21 06:37:02
Adventure|Animation|Children|Comedy|Fantasy|Romance,107.0,2007-10-04 20:13:08
Adventure|Animation|Children|Comedy|Fantasy|Romance,107.0,2008-10-19 07:12:06
Adventure|Animation|Children|Comedy|Fantasy|Romance,829.0,2006-01-23 14:08:27
Adventure|Animation|Children|Comedy|Fantasy|Romance,371.0,2007-05-08 23:47:22
